part,instance,algorithm,runs,feasible_runs,best_cost,mean_cost,std_cost,best_gap_percent,mean_gap_percent,mean_elapsed_time,mean_cpu_time,best_seed
cvrp,A-n32-k5,cvrp_ils,3,3,787.0819,787.0819,0.0000,0.3931,0.3931,0.524127,0.524162,42
cvrp,A-n80-k10,cvrp_ils,3,3,1789.8305,1795.2071,5.3394,1.5219,1.8268,6.162950,6.162677,44
cvrp,E-n22-k4,cvrp_ils,3,3,375.2798,375.2798,0.0000,0.0746,0.0746,0.132392,0.132404,42
cvrp,M-n200-k17,cvrp_ils,3,3,1337.5665,1344.8395,9.2423,4.9072,5.4776,64.806541,64.803491,44
cvrp,P-n16-k8,cvrp_ils,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,0.150787,0.150800,42
cvrp,X-n101-k25,cvrp_ils,3,3,34613.1373,34873.3133,225.6451,25.4508,26.3938,0.688292,0.687640,44
